Manufacturer,Name,Speed,Glide,Turn,Fade,Purchase Url
Daredevil,Albatross,14,4,-0.1,5,https://infinitediscs.com/Daredevil-Albatross?tag=3c8c6529
Daredevil,Big Foot,13,4.9,-1.9,2.1,https://infinitediscs.com/Daredevil-Big-Foot?tag=3c8c6529
Daredevil,Buffalo,9,4,-1,5,https://infinitediscs.com/Daredevil-Buffalo?tag=3c8c6529
Daredevil,Gray Jay,14,4,-0.1,4.9,https://infinitediscs.com/Daredevil-Gray-Jay?tag=3c8c6529
Daredevil,Mammoth,9,4,-1.1,4.6,https://infinitediscs.com/Daredevil-Mammoth?tag=3c8c6529
Daredevil,Merlin,13.8,4,-1,4.8,https://infinitediscs.com/Daredevil-Merlin?tag=3c8c6529
Daredevil,Ogopogo,9,4,-2.1,4.8,https://infinitediscs.com/Daredevil-Ogopogo?tag=3c8c6529
Daredevil,Sasquatch,12,5,-5,1,https://infinitediscs.com/Daredevil-Sasquatch?tag=3c8c6529
Daredevil,Yeti,13,5.1,-2.8,1.1,https://infinitediscs.com/Daredevil-Yeti?tag=3c8c6529
Daredevil,Sabertooth,9,3.9,-0.1,4.9,https://infinitediscs.com/Daredevil-Sabertooth?tag=3c8c6529
Daredevil,Swift Fox,7.2,5,-3,1,https://infinitediscs.com/Daredevil-Swift-Fox?tag=3c8c6529
Daredevil,Timberwolf,8.1,5.1,-1,1,https://infinitediscs.com/Daredevil-Timberwolf?tag=3c8c6529
Daredevil,Wolverine,8.1,4.9,-2,2,https://infinitediscs.com/Daredevil-Wolverine?tag=3c8c6529
Daredevil,Caribou,4,5,-2.8,1,https://infinitediscs.com/Daredevil-Caribou?tag=3c8c6529
Daredevil,Grizzly,4.1,4,-1,2,https://infinitediscs.com/Daredevil-Grizzly?tag=3c8c6529
Daredevil,Moose,4,5,0,2,https://infinitediscs.com/Daredevil-Moose?tag=3c8c6529
Daredevil,Pteranodon,4,6,-2,1,https://infinitediscs.com/Daredevil-Pteranodon?tag=3c8c6529
Daredevil,Walrus,4,5,0,3,https://infinitediscs.com/Daredevil-Walrus?tag=3c8c6529
Daredevil,Beaver,2,3,0,1,https://infinitediscs.com/Daredevil-Beaver?tag=3c8c6529
Daredevil,Bighorn,2.1,3,0,1,https://infinitediscs.com/Daredevil-Bighorn?tag=3c8c6529
Daredevil,Great Horned Owl,2,3,0,1,https://infinitediscs.com/Daredevil-Great-Horned-Owl?tag=3c8c6529
Daredevil,Polar Bear,2.1,3.1,-0.9,1,https://infinitediscs.com/Daredevil-Polar-Bear?tag=3c8c6529
Daredevil,Woodchuck,2,3,-1,0.2,https://infinitediscs.com/Daredevil-Woodchuck?tag=3c8c6529
Disc-Golf-UK,The Count,7,4,-1,3,https://infinitediscs.com/Disc-Golf-UK-The-Count?tag=3c8c6529
Disc-Golf-UK,The Baron,4,3,0,2.5,https://infinitediscs.com/Disc-Golf-UK-The-Baron?tag=3c8c6529
Disc-Golf-UK,The Duchess,5,4,-2,2,https://infinitediscs.com/Disc-Golf-UK-The-Duchess?tag=3c8c6529
Disc-Golf-UK,The Duke,6,4,0,3.5,https://infinitediscs.com/Disc-Golf-UK-The-Duke?tag=3c8c6529
Discmania,CD,10,4.8,-0.9,2,https://infinitediscs.com/Discmania-CD?tag=3c8c6529
Discmania,CD3,10.9,5,-1,2.1,https://infinitediscs.com/Discmania-CD3?tag=3c8c6529
Discmania,DD,11.1,4.8,0,2.1,https://infinitediscs.com/Discmania-DD?tag=3c8c6529
Discmania,DD2,12.9,4.9,-2,2,https://infinitediscs.com/Discmania-DD2?tag=3c8c6529
Discmania,DD3 ,12,5,-1,3,https://infinitediscs.com/Discmania-DD3-?tag=3c8c6529
Discmania,DDx,12,5.8,-1.1,2,https://infinitediscs.com/Discmania-DDx?tag=3c8c6529
Discmania,Enigma,12.1,5.1,-1.1,2.1,https://infinitediscs.com/Discmania-Enigma?tag=3c8c6529
Discmania,Mentor,11,4.9,-1.8,2,https://infinitediscs.com/Discmania-Mentor?tag=3c8c6529
Discmania,PD,9.9,4.1,0,3,https://infinitediscs.com/Discmania-PD?tag=3c8c6529
Discmania,PD2,12,4.1,0,3.9,https://infinitediscs.com/Discmania-PD2?tag=3c8c6529
Discmania,PD3,11,3,-0.1,5,https://infinitediscs.com/Discmania-PD3?tag=3c8c6529
Discmania,PDx,10.9,4,-0.1,3,https://infinitediscs.com/Discmania-PDx?tag=3c8c6529
Discmania,TD,10,5.8,-1.8,1.1,https://infinitediscs.com/Discmania-TD?tag=3c8c6529
Discmania,TD2 Fever,9.9,5.1,-3.7,1.1,https://infinitediscs.com/Discmania-TD2-Fever?tag=3c8c6529
Discmania,TDx,9,5,-2.8,1.1,https://infinitediscs.com/Discmania-TDx?tag=3c8c6529
Discmania,CD2,9.1,5,-1,2,https://infinitediscs.com/Discmania-CD2?tag=3c8c6529
Discmania,Essence,8,6,-2,1,https://infinitediscs.com/Discmania-Essence?tag=3c8c6529
Discmania,FD,7,5.9,-1,1.1,https://infinitediscs.com/Discmania-FD?tag=3c8c6529
Discmania,FD2,7,4.1,0,2.1,https://infinitediscs.com/Discmania-FD2?tag=3c8c6529
Discmania,FD3,9,4.1,0,3,https://infinitediscs.com/Discmania-FD3?tag=3c8c6529
Discmania,Genius,7.2,5,-4,1,https://infinitediscs.com/Discmania-Genius?tag=3c8c6529
Discmania,Instinct,7.1,5.2,-0.1,2.1,https://infinitediscs.com/Discmania-Instinct?tag=3c8c6529
Discmania,Magician,6,4,0,2,https://infinitediscs.com/Discmania-Magician?tag=3c8c6529
Discmania,Gremlin GM,5.1,4,0,2,https://infinitediscs.com/Discmania-Gremlin-GM?tag=3c8c6529
Discmania,Maestro,4,2.9,-0.1,1.9,https://infinitediscs.com/Discmania-Maestro?tag=3c8c6529
Discmania,MD,4,5,-0.1,0.1,https://infinitediscs.com/Discmania-MD?tag=3c8c6529
Discmania,MD1,4,4,0,2,https://infinitediscs.com/Discmania-MD1?tag=3c8c6529
Discmania,MD2,4,5,-0.2,1.9,https://infinitediscs.com/Discmania-MD2?tag=3c8c6529
Discmania,MD3,5,5,-0.1,2.4,https://infinitediscs.com/Discmania-MD3?tag=3c8c6529
Discmania,MD4,5,4.1,-0.1,2.9,https://infinitediscs.com/Discmania-MD4?tag=3c8c6529
Discmania,MD5,5,3.1,0,4,https://infinitediscs.com/Discmania-MD5?tag=3c8c6529
Discmania,Method,5,5,0,2.9,https://infinitediscs.com/Discmania-Method?tag=3c8c6529
Discmania,Origin,5,5.2,-1.4,0.9,https://infinitediscs.com/Discmania-Origin?tag=3c8c6529
Discmania,Link,2,3,0,1,https://infinitediscs.com/Discmania-Link?tag=3c8c6529
Discmania,P1,2.1,3.1,-0.1,0.1,https://infinitediscs.com/Discmania-P1?tag=3c8c6529
Discmania,P1X,2.1,3,-0.1,0.5,https://infinitediscs.com/Discmania-P1X?tag=3c8c6529
Discmania,P2,2,3.1,0,1.2,https://infinitediscs.com/Discmania-P2?tag=3c8c6529
Discmania,P3,3,4.3,0,2.7,https://infinitediscs.com/Discmania-P3?tag=3c8c6529
Discmania,P3x,3,2.2,0,2.6,https://infinitediscs.com/Discmania-P3x?tag=3c8c6529
Discmania,Sensei,2.9,3,0,1,https://infinitediscs.com/Discmania-Sensei?tag=3c8c6529
Discmania,Tactic,4,2.1,0,3,https://infinitediscs.com/Discmania-Tactic?tag=3c8c6529
Discraft,Avenger,9.9,4.8,0,2.9,https://infinitediscs.com/Discraft-Avenger?tag=3c8c6529
Discraft,Avenger SS,9.8,4.9,-2.9,1,https://infinitediscs.com/Discraft-Avenger-SS?tag=3c8c6529
Discraft,Crank,12.3,5,-1.4,2,https://infinitediscs.com/Discraft-Crank?tag=3c8c6529
